STATION,NAME,DATE,TAVG,TMAX,TMIN
MUZAFFARABAD001,MUZAFFARABAD,1980-01-01,,10,5
MUZAFFARABAD001,MUZAFFARABAD,1980-01-02,,11,4
MUZAFFARABAD001,MUZAFFARABAD,1980-01-03,,13,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-04,,14,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-05,,15,1
MUZAFFARABAD001,MUZAFFARABAD,1980-01-06,,16,1
MUZAFFARABAD001,MUZAFFARABAD,1980-01-07,,15,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-08,,16,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-09,,15,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-10,,17,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-11,,17,1
MUZAFFARABAD001,MUZAFFARABAD,1980-01-12,,17,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-13,,15,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-14,,17,2
MUZAFFARABAD001,MUZAFFARABAD,1980-01-15,,19,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-16,,12,5
MUZAFFARABAD001,MUZAFFARABAD,1980-01-17,,16,5
MUZAFFARABAD001,MUZAFFARABAD,1980-01-18,,16,5
MUZAFFARABAD001,MUZAFFARABAD,1980-01-19,,12,5
MUZAFFARABAD001,MUZAFFARABAD,1980-01-20,,12,4
MUZAFFARABAD001,MUZAFFARABAD,1980-01-21,,12,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-22,,19,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-23,,20,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-24,,19,4
MUZAFFARABAD001,MUZAFFARABAD,1980-01-25,,17,7
MUZAFFARABAD001,MUZAFFARABAD,1980-01-26,,8,7
MUZAFFARABAD001,MUZAFFARABAD,1980-01-27,,12,6
MUZAFFARABAD001,MUZAFFARABAD,1980-01-28,,13,6
MUZAFFARABAD001,MUZAFFARABAD,1980-01-29,,15,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-30,,17,3
MUZAFFARABAD001,MUZAFFARABAD,1980-01-31,,21,3
MUZAFFARABAD001,MUZAFFARABAD,1980-02-01,,22,4
MUZAFFARABAD001,MUZAFFARABAD,1980-02-02,,17,6
MUZAFFARABAD001,MUZAFFARABAD,1980-02-03,,11,5
MUZAFFARABAD001,MUZAFFARABAD,1980-02-04,,11,4
MUZAFFARABAD001,MUZAFFARABAD,1980-02-05,,6,1
MUZAFFARABAD001,MUZAFFARABAD,1980-02-06,,11,2
MUZAFFARABAD001,MUZAFFARABAD,1980-02-07,,16,2
MUZAFFARABAD001,MUZAFFARABAD,1980-02-08,,17,2
MUZAFFARABAD001,MUZAFFARABAD,1980-02-09,,14,2
MUZAFFARABAD001,MUZAFFARABAD,1980-02-10,,18,3
MUZAFFARABAD001,MUZAFFARABAD,1980-02-11,,19,4
MUZAFFARABAD001,MUZAFFARABAD,1980-02-12,,19,5
MUZAFFARABAD001,MUZAFFARABAD,1980-02-13,,18,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-14,,16,9
MUZAFFARABAD001,MUZAFFARABAD,1980-02-15,,12,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-16,,14,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-17,,19,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-18,,19,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-19,,20,8
MUZAFFARABAD001,MUZAFFARABAD,1980-02-20,,13,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-21,,13,8
MUZAFFARABAD001,MUZAFFARABAD,1980-02-22,,15,9
MUZAFFARABAD001,MUZAFFARABAD,1980-02-23,,19,10
MUZAFFARABAD001,MUZAFFARABAD,1980-02-24,,18,8
MUZAFFARABAD001,MUZAFFARABAD,1980-02-25,,22,9
MUZAFFARABAD001,MUZAFFARABAD,1980-02-26,,23,9
MUZAFFARABAD001,MUZAFFARABAD,1980-02-27,,14,9
MUZAFFARABAD001,MUZAFFARABAD,1980-02-28,,12,7
MUZAFFARABAD001,MUZAFFARABAD,1980-02-29,,16,5
MUZAFFARABAD001,MUZAFFARABAD,1980-03-01,,19,6
MUZAFFARABAD001,MUZAFFARABAD,1980-03-02,,19,8
MUZAFFARABAD001,MUZAFFARABAD,1980-03-03,,16,7
MUZAFFARABAD001,MUZAFFARABAD,1980-03-04,,16,8
MUZAFFARABAD001,MUZAFFARABAD,1980-03-05,,18,10
MUZAFFARABAD001,MUZAFFARABAD,1980-03-06,,12,4
MUZAFFARABAD001,MUZAFFARABAD,1980-03-07,,13,5
MUZAFFARABAD001,MUZAFFARABAD,1980-03-08,,21,7
MUZAFFARABAD001,MUZAFFARABAD,1980-03-09,,12,6
MUZAFFARABAD001,MUZAFFARABAD,1980-03-10,,16,7
MUZAFFARABAD001,MUZAFFARABAD,1980-03-11,,16,6
MUZAFFARABAD001,MUZAFFARABAD,1980-03-12,,11,4
MUZAFFARABAD001,MUZAFFARABAD,1980-03-13,,19,6
MUZAFFARABAD001,MUZAFFARABAD,1980-03-14,,19,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-15,,23,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-16,,13,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-17,,25,11
MUZAFFARABAD001,MUZAFFARABAD,1980-03-18,,26,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-19,,17,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-20,,25,11
MUZAFFARABAD001,MUZAFFARABAD,1980-03-21,,23,14
MUZAFFARABAD001,MUZAFFARABAD,1980-03-22,,14,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-23,,24,12
MUZAFFARABAD001,MUZAFFARABAD,1980-03-24,,22,12
MUZAFFARABAD001,MUZAFFARABAD,1980-03-25,,16,11
MUZAFFARABAD001,MUZAFFARABAD,1980-03-26,,21,7
MUZAFFARABAD001,MUZAFFARABAD,1980-03-27,,27,10
MUZAFFARABAD001,MUZAFFARABAD,1980-03-28,,26,12
MUZAFFARABAD001,MUZAFFARABAD,1980-03-29,,16,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-30,,17,9
MUZAFFARABAD001,MUZAFFARABAD,1980-03-31,,25,11
MUZAFFARABAD001,MUZAFFARABAD,1980-04-01,,30,13
MUZAFFARABAD001,MUZAFFARABAD,1980-04-02,,29,16
MUZAFFARABAD001,MUZAFFARABAD,1980-04-03,,18,9
MUZAFFARABAD001,MUZAFFARABAD,1980-04-04,,26,12
MUZAFFARABAD001,MUZAFFARABAD,1980-04-05,,30,12
MUZAFFARABAD001,MUZAFFARABAD,1980-04-06,,31,16
MUZAFFARABAD001,MUZAFFARABAD,1980-04-07,,29,14
MUZAFFARABAD001,MUZAFFARABAD,1980-04-08,,30,14
MUZAFFARABAD001,MUZAFFARABAD,1980-04-09,,33,14
MUZAFFARABAD001,MUZAFFARABAD,1980-04-10,,33,15
MUZAFFARABAD001,MUZAFFARABAD,1980-04-11,,33,16
MUZAFFARABAD001,MUZAFFARABAD,1980-04-12,,24,13
MUZAFFARABAD001,MUZAFFARABAD,1980-04-13,,17,12
MUZAFFARABAD001,MUZAFFARABAD,1980-04-14,,29,13
MUZAFFARABAD001,MUZAFFARABAD,1980-04-15,,32,14
MUZAFFARABAD001,MUZAFFARABAD,1980-04-16,,33,16
MUZAFFARABAD001,MUZAFFARABAD,1980-04-17,,33,17
MUZAFFARABAD001,MUZAFFARABAD,1980-04-18,,35,19
MUZAFFARABAD001,MUZAFFARABAD,1980-04-19,,35,19
MUZAFFARABAD001,MUZAFFARABAD,1980-04-20,,34,20
MUZAFFARABAD001,MUZAFFARABAD,1980-04-21,,34,18
MUZAFFARABAD001,MUZAFFARABAD,1980-04-22,,31,18
MUZAFFARABAD001,MUZAFFARABAD,1980-04-23,,29,14
MUZAFFARABAD001,MUZAFFARABAD,1980-04-24,,33,15
MUZAFFARABAD001,MUZAFFARABAD,1980-04-25,,35,16
MUZAFFARABAD001,MUZAFFARABAD,1980-04-26,,34,17
MUZAFFARABAD001,MUZAFFARABAD,1980-04-27,,36,20
MUZAFFARABAD001,MUZAFFARABAD,1980-04-28,,32,18
MUZAFFARABAD001,MUZAFFARABAD,1980-04-29,,36,21
MUZAFFARABAD001,MUZAFFARABAD,1980-04-30,,35,20
MUZAFFARABAD001,MUZAFFARABAD,1980-05-01,,36,20
MUZAFFARABAD001,MUZAFFARABAD,1980-05-02,,37,22
MUZAFFARABAD001,MUZAFFARABAD,1980-05-03,,37,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-04,,35,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-05,,38,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-06,,38,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-07,,40,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-08,,36,22
MUZAFFARABAD001,MUZAFFARABAD,1980-05-09,,31,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-10,,28,18
MUZAFFARABAD001,MUZAFFARABAD,1980-05-11,,32,16
MUZAFFARABAD001,MUZAFFARABAD,1980-05-12,,35,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-13,,34,18
MUZAFFARABAD001,MUZAFFARABAD,1980-05-14,,29,20
MUZAFFARABAD001,MUZAFFARABAD,1980-05-15,,25,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-16,,35,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-17,,35,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-18,,35,20
MUZAFFARABAD001,MUZAFFARABAD,1980-05-19,,38,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-20,,33,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-21,,30,15
MUZAFFARABAD001,MUZAFFARABAD,1980-05-22,,31,15
MUZAFFARABAD001,MUZAFFARABAD,1980-05-23,,34,16
MUZAFFARABAD001,MUZAFFARABAD,1980-05-24,,35,17
MUZAFFARABAD001,MUZAFFARABAD,1980-05-25,,36,19
MUZAFFARABAD001,MUZAFFARABAD,1980-05-26,,37,18
MUZAFFARABAD001,MUZAFFARABAD,1980-05-27,,38,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-28,,40,21
MUZAFFARABAD001,MUZAFFARABAD,1980-05-29,,41,22
MUZAFFARABAD001,MUZAFFARABAD,1980-05-30,,41,22
MUZAFFARABAD001,MUZAFFARABAD,1980-05-31,,40,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-01,,40,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-02,,41,23
MUZAFFARABAD001,MUZAFFARABAD,1980-06-03,,34,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-04,,37,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-05,,40,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-06,,40,19
MUZAFFARABAD001,MUZAFFARABAD,1980-06-07,,38,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-08,,40,23
MUZAFFARABAD001,MUZAFFARABAD,1980-06-09,,41,24
MUZAFFARABAD001,MUZAFFARABAD,1980-06-10,,42,25
MUZAFFARABAD001,MUZAFFARABAD,1980-06-11,,43,25
MUZAFFARABAD001,MUZAFFARABAD,1980-06-12,,44,26
MUZAFFARABAD001,MUZAFFARABAD,1980-06-13,,43,19
MUZAFFARABAD001,MUZAFFARABAD,1980-06-14,,24,17
MUZAFFARABAD001,MUZAFFARABAD,1980-06-15,,35,19
MUZAFFARABAD001,MUZAFFARABAD,1980-06-16,,36,18
MUZAFFARABAD001,MUZAFFARABAD,1980-06-17,,36,18
MUZAFFARABAD001,MUZAFFARABAD,1980-06-18,,38,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-19,,39,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-20,,40,23
MUZAFFARABAD001,MUZAFFARABAD,1980-06-21,,40,22
MUZAFFARABAD001,MUZAFFARABAD,1980-06-22,,34,23
MUZAFFARABAD001,MUZAFFARABAD,1980-06-23,,37,26
MUZAFFARABAD001,MUZAFFARABAD,1980-06-24,,37,21
MUZAFFARABAD001,MUZAFFARABAD,1980-06-25,,31,21
MUZAFFARABAD001,MUZAFFARABAD,1980-06-26,,34,22
